year,India(water),India(1.9),xy,x2,y2
2006,13.5,37.83,510.705,182.25,1431.1089
2007,12.6,35.99,453.474,158.76,1295.2801
2008,11.6,34.82,403.912,134.56,1212.4324
2009,10.6,33.74,357.644,112.36,1138.3876
2010,9.7,29.73,288.381,94.09,883.8729
2011,8.7,23.57,205.059,75.69,555.5449
2012,7.8,21.68,169.104,60.84,470.0224
2013,6.9,19.09,131.721,47.61,364.4281
2014,5.9,17,100.3,34.81,289
2015,5.9,14.54,85.786,34.81,211.4116
total,93.2,267.99,2706.086,935.78,7851.4889
mean,9.32,26.799,270.6086,93.578,785.14889
