year,Mozambique,Niger,Chad,India,Bangladesh,Ghana,YEAR,chad,china,India ,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam,,,
2000,3.07,1.01,3.29,22.15,7.24,5.89,2006,3.19,51.8,29.74,1.03,1.32,1.32,30.5,0.41,98.38,32.61,,,
2005,3.21,1.26,3.21,28.34,9.74,9.44,2007,3.16,52.5,30.95,1.02,1.37,1.37,31.81,0.43,98.57,36.04,,,
2010,3.4,1.55,3.14,34.4,12.9,14.05,2008,3.23,53.37,32.06,0.99,1.43,1.43,33.05,0.44,98.69,39.55,,,
2015,3.62,1.88,3.13,39.88,16.68,20.37,2009,3.19,54.07,32.82,0.97,1.45,1.45,34.17,0.44,98.85,43.12,,,
,,,,,,,2010,3.14,54.91,34.4,0.96,1.55,1.55,35.59,0.47,98.94,46.76,,,
,,,,,,,2011,3.15,55.66,35.42,0.94,1.61,1.61,36.85,0.48,99.03,50.14,,,
,,,,,,,2012,3.18,56.4,36.64,0.96,1.67,1.67,38.13,0.51,99.1,53.84,,,
,,,,,,,2013,3.15,57.24,37.81,0.94,1.7,1.7,39.47,0.52,99.18,57.23,,,
,,,,,,,2014,3.13,57.8,38.8,0.92,1.77,1.77,40.74,0.54,99.22,60.79,,,
,,,,,,,2015,3.13,58.54,39.88,0.9,1.88,1.88,42.13,0.56,99.27,63.81,,,
