YEAR,Chad,China,India,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam
2006,4.76,98.07,67.9,15.45,9.3,48.27,83.85,10.29,97.73,96
2007,5.09,98.4,69.99,15.78,11.13,50.13,89.2,11.2,98.27,94.05
2008,5.45,98.75,71.55,16.14,11.64,50.3,86.79,6,98.81,95.21
2009,5.83,99.12,75,17.4,12.17,51.19,90.73,13.1,99.31,96.1
2010,6.4,99.7,76.3,16.9,12.72,48,89.81,9.7,100,97.59
2011,6.64,99.75,67.6,14.3,14.3,55.9,91.37,10.8,99.91,99
2012,7.07,99.92,79.9,17.73,14.4,54.27,92.9,16.07,99.99,100
2013,7.5,99.98,79.6,12.9,14.44,55.6,93.6,15.2,100,100
2014,7.94,100,81.24,18.6,15.03,56.37,96.02,19.8,100,99.2
2015,7.7,100,88,19.04,16.6,52.5,93.5,22.8,100,100
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
