YEAR,Chad,China,India,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam
2006,41.22,17.36,37.83,71.99,73.3,56.08,18.2,68.84,1.77,18.84
2007,41.35,15.7,35.99,71.79,73.5,56.21,15.79,67.8,1.31,16.22
2008,41.57,14.86,34.82,71.45,60,56.36,13.47,66.34,0.56,14.12
2009,41.09,13.14,33.74,76.05,68.14,56.32,12.45,65.47,0.72,12.88
2010,36.63,11.21,29.73,78.18,55.3,54.55,9.91,64.38,0.77,4.03
2011,38.08,7.93,23.57,78.78,50.64,49.16,8.28,62.79,0.13,3.33
2012,35.73,6.5,21.68,78.84,46.91,45.53,7.09,60.54,0.09,2.73
2013,34.71,1.86,19.09,79,46.97,46.4,7.18,59.22,0.3,2.65
2014,33.62,1.36,17,78.77,45.4,42.78,5.41,57.73,0.2,2.6
2015,33.79,0.73,14.54,78.63,44.74,41.17,5.36,56.02,0.21,2.17
