YEAR,Chad,China,India,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam
2006,95.24,1.93,32.1,84.55,90.7,51.73,16.15,89.71,2.27,4
2007,94.91,1.6,30.01,84.22,88.87,49.87,10.8,88.8,1.73,5.95
2008,94.55,1.25,28.45,83.86,88.36,49.7,13.21,94,1.19,4.79
2009,94.17,0.88,25,82.6,87.83,48.81,9.27,86.9,0.69,3.9
2010,93.6,0.3,23.7,83.1,87.28,52,10.19,90.3,0,2.41
2011,93.36,0.25,32.4,85.7,85.7,44.1,8.63,89.2,0.09,1
2012,92.93,0.08,20.1,82.27,85.6,45.73,7.1,83.93,0.01,0
2013,92.5,0.02,20.4,87.1,85.56,44.4,6.4,84.8,0,0
2014,92.06,0,18.76,81.4,84.97,43.63,3.98,80.2,0,0.8
2015,92.3,0,12,80.96,83.4,47.5,6.5,77.2,0,0
