YEAR,Niger,Chad,Nigeria,Rwanda,Madagascar,India,Pakistan,Vietnam,China,Turkey
2006,50.2,52.3,41,29.6,56.9,13.5,10.3,14.1,12.6,3.7
2007,49.2,51.8,39.9,28.9,56,12.6,10.1,12.7,11.5,3.1
2008,48.1,51.3,38.8,28.2,55,11.6,9.9,11.4,10.5,2.5
2009,47.1,50.8,37.7,27.6,54.1,10.6,9.7,10.1,9.5,2
2010,46,50.3,36.6,26.9,53.1,9.7,9.5,8.7,8.6,1.4
2011,44.9,49.8,35.5,26.3,52.2,8.7,9.3,7.4,7.7,0.9
2012,43.8,49.3,34.5,25.7,51.3,7.8,9.1,6.2,6.8,0.5
2013,42.7,49.2,33.4,25.1,50.3,6.9,8.9,4.9,6,0.2
2014,41.9,49.2,32.4,24.5,49.4,5.9,8.7,3.6,5.2,0
2015,41.8,49.2,31.5,23.9,48.5,5.9,8.6,2.4,4.5,0
